date,time,ni_in,fe_in,sio2_in,cao_in,mgo_in,al2o3_in,fe_ni,s_m,bc,loi_in,mc_kilnfeed,fc_coal,gcv_coal,tco,voltage,current,load,rpm,pry_p,sec_p,pry_v,sec_v,total_coal,a_f_ratio,kg_tco,reductor_ratio,reductor_consume,charge_kiln,t_tic162,t_tic163,t_tic166,t_tic172,furnace_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
44197,0,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.5,656.4,224,100.4,425.6,3900,8.092307692,47.79411765,6.16,127.09,2064.34,1200,757,532,270,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,627,-3,0.71
44197,0.041666667,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.5,679.5,235.4,102.5,434.4,4000,8.0535,49.45598417,6.16,127.09,2064.34,1200,756,504,270,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,607,-2.7,0.71
44197,0.083333333,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.5,685.9,233.8,102.6,434.1,4300,7.488837209,56.06258149,6.16,127.09,2064.34,1200,760,530,276,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,614,-3.1,0.71
44197,0.125,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.5,735.3,254.1,106.3,449.1,4300,7.749767442,49.66504967,6.16,127.09,2064.34,1200,762,714,283,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,620,-0.9,0.9
44197,0.166666667,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.52,761,264,108,458,4500,7.546666667,50.50505051,6.16,127.09,2064.34,1200,747,535,280,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,610,-3,0.9
44197,0.208333333,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.52,762,263,108,457,4700,7.212765957,51.87637969,6.16,127.09,2064.34,1192,757,547,284,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,621,-2.1,0.75
44197,0.25,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.52,759,264,108,457,4600,7.369565217,51.97740113,6.16,127.09,2064.34,882,757,549,285,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,615,-3.2,0.75
44197,0.291666667,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.52,761,263,108,457,4600,7.369565217,49.94571118,6.16,127.09,2064.34,1197,762,566,285,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,619,-3.4,0.81
44197,0.333333333,2.09,12.68,37.85,0.42,20.13,1.25,6.06,1.88,0.54,11.54,22.03,45.45,6947.46,127.1,758.3,23.3,35,0.52,762,266.7,108.5,458,4500,7.553333333,48.96094005,6.16,127.09,2064.34,1201,772,587,292,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,622,-2.9,0.81
44197,0.375,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.52,763,273,108.6,460,4500,7.581333333,49.6195832,6.16,127.09,2064.34,1201,772,587,293,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,604,-3,0.62
44197,0.416666667,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.52,816.1,295,112,480.8,4600,7.732173913,52.35602094,6.16,127.09,2064.34,1201,774,569,289,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,641,-2.5,0.62
44197,0.458333333,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.52,818.4,293,112,480.7,4600,7.730869565,51.93632155,6.16,127.09,2064.34,1164,770,564,285,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,639,-3.7,0.64
44197,0.5,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.52,816.1,296.3,112,480.7,4600,7.730869565,51.36221527,6.16,127.09,2064.34,1188,752,552,284,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,623,-3.5,0.64
44197,0.541666667,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.52,807.2,294.4,111.3,478.6,4500,7.865333333,51.27620784,6.16,127.09,2064.34,1150,751,547,269,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,598,-2.7,0.63
44197,0.583333333,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.45,546.4,199.4,92.2,403,3600,8.253333333,61.66495375,6.16,127.09,2064.34,1200,693,466,237,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,573,-2,0.63
44197,0.625,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.46,786.2,283.4,109.9,472,4400,7.935,56.3885685,6.16,127.09,2064.34,1200,717,452,250,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,615,-3,0.61
44197,0.666666667,2.05,12.77,37.58,0.45,20.3,1.37,6.23,1.86,0.55,11.17,20.43,43.85,6698.12,127.1,758.3,23.3,35,0.52,825.8,295.5,112.2,480.2,4500,7.898666667,51.65882218,6.16,127.09,2064.34,1200,756,512,262,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,593,-3.1,0.61
44197,0.708333333,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,820.6,286.3,111.8,472.7,4600,7.623913043,50.17999345,6.16,127.09,2064.34,1200,774,550,271,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,624,-3.5,0
44197,0.75,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,805,280.2,111.3,468.3,4600,7.56,51.09975561,6.16,127.09,2064.34,849,782,568,277,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,666,-2.6,0
44197,0.791666667,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,756,269.8,108,461.8,4300,7.950697674,49.71098266,6.16,127.09,2064.34,1201,770,557,276,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,642,-2.3,0
44197,0.833333333,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,757.1,271.2,107.8,462,4300,7.950697674,49.49925176,6.16,127.09,2064.34,1200,749,555,269,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,632,-2.4,0
44197,0.875,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,758.9,270,108,462.9,4300,7.966046512,49.71098266,6.16,127.09,2064.34,1201,757,543,276,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,612,-2.5,0
44197,0.916666667,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,760.6,265,108.4,456.8,4300,7.886511628,49.18782887,6.16,127.09,2064.34,1200,729,526,270,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,619,-2.8,0
44197,0.958333333,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,127.1,758.3,23.3,35,0.52,760.6,262.7,108.4,456,4400,7.696363636,49.200492,6.16,127.09,2064.34,1198,742,538,271,1399.2,20.8,1.294,1.284,74.8144,0.5044,0.07,7.22,605,-1.9,0
44198,0,2,10.97,36.39,0.36,19.54,1.13,5.5,1.86,0.54,12.98,22.2,45.12,6920.98,129.7,751.7,24,35,0.5,799.6,282.1,110.7,470.8,4300,8.113953488,47.42472703,6.29,129.75,2064.34,1201,727,518,273,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,599,-3.1,0
44198,0.041666667,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,836.9,289.2,113.3,476,4500,7.857333333,49.79528605,6.29,129.75,2064.34,1201,750,539,280,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,587,-2.8,0
44198,0.083333333,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,834.2,287.4,113.4,476.2,4700,7.526808511,54.04783809,6.29,129.75,2064.34,1201,763,538,286,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,604,-3.2,0
44198,0.125,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,836.8,288.5,113.5,475.6,4700,7.520425532,54.15994469,6.29,129.75,2064.34,1201,760,534,286,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,603,-2.9,0
44198,0.166666667,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,833,289,113,476,4700,7.519148936,53.15539471,6.29,129.75,2064.34,1200,761,559,288,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,615,-2.6,0
44198,0.208333333,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,834,289,113,476,4800,7.3625,52.98013245,6.29,129.75,2064.34,1200,768,561,289,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,626,-2.9,0
44198,0.25,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,830,288,113,475,4700,7.506382979,51.87637969,6.29,129.75,2064.34,1200,764,551,290,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,631,-2.8,0
44198,0.291666667,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,37.79,5672.22,129.7,751.7,24,35,0.5,834,288,113,475,4700,7.506382979,52.92792793,6.29,129.75,2064.34,1200,766,552,291,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,618,-3.5,0
44198,0.333333333,2.08,12.36,36.33,0.31,21.3,1.11,5.94,1.71,0.59,,18.735,44.95,5672.22,129.7,751.7,24,35,0.5,837.2,287.5,113.3,475.3,4700,7.514042553,51.68242797,6.29,129.75,2064.34,1200,761,563,286,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,627,-2.5,0
44198,0.375,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,0.5,835,286.2,113.1,475.9,4600,7.682608696,50.09801786,6.29,129.75,2064.34,878,778,548,287,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,622,-3.5,0.25
44198,0.416666667,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,0.5,878.3,299.2,115.4,485.7,4800,7.51375,52.95675199,6.29,129.75,2064.34,954,783,569,299,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,614,-4.9,0.25
44198,0.458333333,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,0.54,874.4,299.7,115.5,486.2,4800,7.52125,51.8134715,6.29,129.75,2064.34,1149,782,586,301,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,617,-2.9,0.28
44198,0.5,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,0.54,869.1,297.2,115.6,485.4,4800,7.5125,51.15634658,6.29,129.75,2064.34,776,780,588,298,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,621,-2.7,0.28
44198,0.541666667,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,0.54,876.3,298.3,115.7,487,4900,7.38,52.37840727,6.29,129.75,2064.34,1200,780,570,290,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,634,-3.3,0.26
44198,0.583333333,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,,,,,,,,,6.29,129.75,2064.34,,,,,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,,,0.29
44198,0.625,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,44.95,6629.3,129.7,751.7,24,35,0.54,873.5,309.6,115.5,494.1,5000,7.3152,52.65374895,6.29,129.75,2064.34,973,746,549,294,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,620,-3,0.29
44198,0.666666667,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,17.71,46.21,6629.3,129.7,751.7,24,35,0.4,298.9,127.6,68.2,331.1,3600,6.655,68.61063465,6.29,129.75,2064.34,1200,728,566,272,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,586,-1,0.29
44198,0.708333333,2.03,13.12,40.75,0.65,23.61,2.04,6.48,1.73,0.59,,21.435,46.21,7291.91,129.7,751.7,24,35,0.48,504.4,179.6,88.5,385.3,3800,7.481052632,57.23753577,6.29,129.75,2064.34,1200,749,517,261,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,600,-2.7,0
44198,0.75,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,129.7,751.7,24,35,0.5,554.1,195.7,92.6,401.7,4000,7.4145,48.43201356,6.29,129.75,2064.34,1200,766,588,274,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,616,-3.1,0
44198,0.791666667,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,129.7,751.7,24,35,0.5,552.6,194.3,92.9,402.2,4200,7.072857143,47.75983625,6.29,129.75,2064.34,1200,773,580,273,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,620,-3.9,0
44198,0.833333333,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,129.7,751.7,24,35,0.5,563.2,203.6,93.5,406.5,4200,7.142857143,47.50056548,6.29,129.75,2064.34,1200,751,550,269,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,612,-3.3,0
44198,0.875,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,129.7,751.7,24,35,0.5,579.5,202.6,94.6,409.8,4400,6.878181818,49.85835694,6.29,129.75,2064.34,1200,727,535,272,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,620,-2.8,0
44198,0.916666667,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,129.7,751.7,24,35,0.5,674.2,243.2,102.4,441.6,4400,7.418181818,50.23404498,6.29,129.75,2064.34,1200,732,526,264,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,611,-3.1,0
44198,0.958333333,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,129.7,751.7,24,35,0.5,703.2,251.8,104.5,449.6,4600,7.227391304,50.37231713,6.29,129.75,2064.34,1189,755,562,275,1400.666667,20.835,1.306666667,1.291666667,74.80116667,0.465666667,0.06,7.4,608,-3.2,0
44199,0,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,,21.435,46.21,7291.91,0,794.3,23.7,35,0.51,705.4,252.2,104.6,449.6,4700,7.074893617,51.33245959,6.02,127.35,2114.3,1017,754,529,276,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,634,-3.7,0
44199,0.041666667,1.98,12.02,35.51,0.41,19.45,1.37,6.07,1.83,0.56,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,880.2,314,116.6,497.3,4600,8.007391304,52.03031331,6.02,127.35,2114.3,1200,758,540,286,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,593,-3.7,0.38
44199,0.083333333,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,888.4,315.3,116.6,498,4700,7.845957447,51.31564581,6.02,127.35,2114.3,1200,767,565,292,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,611,-3.9,0.38
44199,0.125,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,920,326.6,118.7,506.3,4600,8.152173913,49.72435412,6.02,127.35,2114.3,1200,771,563,289,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,606,-3.4,0.37
44199,0.166666667,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,946.9,337,120.2,514.7,4700,8.105106383,50.10126852,6.02,127.35,2114.3,1200,768,568,282,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,612,-3,0.37
44199,0.208333333,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,954.2,339.9,120.6,514.6,4700,8.10893617,52.23963543,6.02,127.35,2114.3,1200,772,558,278,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,627,-3.2,0.4
44199,0.25,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,949.5,340.4,120.6,514.2,4800,7.935,52.95091009,6.02,127.35,2114.3,1200,734,524,275,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,628,-2.5,0.4
44199,0.291666667,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,948.9,340.1,120.6,514,4700,8.101276596,51.94518126,6.02,127.35,2114.3,1200,742,512,289,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,612,-3.3,0.42
44199,0.333333333,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,21.265,45.28,6576.24,0,794.3,23.7,35,0.51,763.2,277,108.1,465.8,4600,7.485652174,50.78944463,6.02,127.35,2114.3,1200,767,572,289,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,635,-1.9,0.42
44199,0.375,2.1,13.6,39.3,0.42,20.34,1.29,6.48,1.93,0.53,10.76,19.875,43.61,6587.01,0,794.3,23.7,35,0.51,820.6,296.3,112.1,482,4500,7.921333333,48.37149307,6.02,127.35,2114.3,1200,757,571,287,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,626,-2.9,0
44199,0.416666667,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,922.5,331.8,118.6,505.2,5000,7.4856,49.77600796,6.02,127.35,2114.3,1200,773,578,297,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,616,-2.8,0
44199,0.458333333,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,927.9,333.1,119,507.8,5300,7.095849057,52.74681529,6.02,127.35,2114.3,1200,749,553,297,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,620,-2.9,0
44199,0.5,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,958.9,334,121.1,514.6,5300,7.196603774,53.15947844,6.02,127.35,2114.3,1200,726,549,302,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,613,-4.1,0
44199,0.541666667,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,958.4,333.8,120.6,511.8,5500,6.898909091,55.04403523,6.02,127.35,2114.3,1200,715,558,299,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,611,-2.2,0
44199,0.583333333,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,962.5,333.8,120.8,513.1,5600,6.791785714,55.59968229,6.02,127.35,2114.3,1200,722,547,298,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,610,-4.2,0
44199,0.625,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,997.8,333.3,123,512.8,5600,6.812142857,57.24800654,6.02,127.35,2114.3,1200,725,533,303,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,627,-4.4,0
44199,0.666666667,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,19.875,43.61,6587.01,0,794.3,23.7,35,0.56,995.3,332.2,122.9,508.6,5500,6.889090909,53.90571401,6.02,127.35,2114.3,1200,735,577,309,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,629,-3.8,0
44199,0.708333333,2.135,13.19,36.71,0.41,19.975,1.36,6.17867,1.83989,0.55281,11.28,21.65,41.85,6204.13,0,794.3,23.7,35,0.56,997.2,332.8,123,507.6,5300,7.138867925,53.42741935,6.02,127.35,2114.3,1200,775,589,305,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,622,-2.1,0.98
44199,0.75,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,0,794.3,23.7,35,0.56,996.3,332.8,122.8,507.4,5300,7.134339623,54.25325008,6.02,127.35,2114.3,1200,772,572,309,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,622,-3.3,0.98
44199,0.791666667,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,0,794.3,23.7,35,0.56,995.2,334.1,123,507.3,5200,7.272692308,53.28960853,6.02,127.35,2114.3,1200,770,586,301,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,624,-3.5,0.96
44199,0.833333333,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,0,794.3,23.7,35,0.56,994,334.1,123.1,507.4,5200,7.275,53.15342942,6.02,127.35,2114.3,1200,758,544,303,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,618,-3.6,0.96
44199,0.875,2.11,13.35,36.43,0.35,19.83,1.52,6.35,1.84,0.55,11.57,21.65,41.85,6204.13,0,794.3,23.7,35,0.56,993.9,333.6,122.7,507.4,5200,7.270384615,53.38260959,6.02,127.35,2114.3,1200,777,592,299,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,623,-3.2,0.99
44199,0.916666667,2.11,13.35,36.43,0.35,19.83,1.52,6.350671369,1.83859844,0.55184878,11.57,21.65,41.85,6204.13,0,794.3,23.7,35,,,,,,,,,6.02,127.35,2114.3,,,,,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,,,0.99
44199,0.958333333,2.11,13.35,36.43,0.35,19.83,1.52,6.350671369,1.83859844,0.55184878,11.57,21.65,41.85,6204.13,0,794.3,23.7,35,,,,,,,,,6.02,127.35,2114.3,,,,,1405.5,21.00333333,1.316666667,1.265,74.6815,0.4455,0.06,7.68,,,0.97
44200,1,2.11,13.35,36.43,0.35,19.83,1.52,6.350671369,1.83859844,0.55184878,11.57,21.65,41.85,6204.13,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,0.97
44200,1.041666667,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.083333333,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.125,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.166666667,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.208333333,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.25,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.291666667,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.333333333,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.375,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.416666667,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
44200,1.458333333,,,,,,,,,,,,,,0,453.9,20.3,5,,,,,,,,,,,,,,,,1399.8,21.032,1.302,1.2,74.7262,0.4526,0.06,7.58,,,
